epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
37,0.56855638,0.90823912,0.05903221,0.56923064,0.90836139,0.06053446,False,705.25,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
38,0.5686063,0.90831767,0.05903918,0.56913256,0.90872765,0.05973987,False,704.74,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
39,0.5686241,0.90835164,0.05903274,0.56921057,0.91031463,0.05755442,False,704.98,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
40,0.56859938,0.90830549,0.05904014,0.56922671,0.90837141,0.06050961,False,703.35,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
41,0.56860287,0.90831246,0.05903843,0.56911501,0.90885569,0.05950393,False,704.28,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
42,0.56864227,0.9083742,0.05904432,0.56915034,0.90863282,0.05992654,False,705.16,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
43,0.56856393,0.90824785,0.05903798,0.56912385,0.90971489,0.05823723,False,704.48,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
44,0.56851712,0.90814802,0.0590707,0.56911959,0.90967155,0.0582916,False,703.55,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
45,0.56860083,0.90831288,0.05903269,0.56914744,0.90991566,0.05799505,False,704.86,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
46,0.56859178,0.9082903,0.05904395,0.56911544,0.90962576,0.0583499,False,705.32,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
47,0.56857711,0.9082688,0.05903951,0.56913566,0.9098219,0.05810624,False,704.11,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
48,0.56854189,0.90821582,0.05903094,0.56936483,0.90811074,0.0612459,False,703.86,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
49,0.56856638,0.90824516,0.05904815,0.56912078,0.90968399,0.05827591,False,705.41,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
50,0.56856905,0.90825442,0.05904094,0.56914311,0.90866862,0.05985477,False,678.18,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
